Name,Disabled,FileName,ExportName,Character,Skin,IsPicto,BattleCategory,Rarity,EmoteType,LockedForChronos,BundleCode,IsDefaultBattleEmote
emoji_bull_sad,,sc/characters.sc,emoji_bull_sad,BullDude,,,2,0,2,,,
emoji_bull_thanks,,sc/characters.sc,emoji_bull_thanks,BullDude,,,4,2,4,,,
emoji_carl,,sc/characters.sc,emoji_carl,Whirlwind,,TRUE,0,0,0,,,
emoji_carl_angry,,sc/characters.sc,emoji_carl_angry,Whirlwind,,,3,0,3,,,
emoji_carl_gg,,sc/characters.sc,emoji_carl_gg,Whirlwind,,,4,1,5,,,
emoji_carl_sad,,sc/characters.sc,emoji_carl_sad,Whirlwind,,,2,0,2,,,
emoji_carl_thanks,,sc/characters.sc,emoji_carl_thanks,Whirlwind,,,4,2,4,,,
emoji_colt,,sc/characters.sc,emoji_colt,Gunslinger,,TRUE,0,0,0,,,
emoji_colt_angry,,sc/characters.sc,emoji_colt_angry,Gunslinger,,,3,0,3,,,
emoji_colt_gg,,sc/characters.sc,emoji_colt_gg,Gunslinger,,,4,1,5,,,
emoji_colt_sad,,sc/characters.sc,emoji_colt_sad,Gunslinger,,,2,0,2,,,
emoji_colt_thanks,,sc/characters.sc,emoji_colt_thanks,Gunslinger,,,4,2,4,,,
emoji_crow,,sc/characters.sc,emoji_crow,Crow,,TRUE,0,0,0,,,
emoji_crow_angry,,sc/characters.sc,emoji_crow_angry,Crow,,,3,0,3,,,
emoji_crow_gg,,sc/characters.sc,emoji_crow_gg,Crow,,,4,1,5,,,
emoji_crow_sad,,sc/characters.sc,emoji_crow_sad,Crow,,,2,0,2,,,
emoji_crow_thanks,,sc/characters.sc,emoji_crow_thanks,Crow,,,4,2,4,,,
emoji_darryl,,sc/characters.sc,emoji_darryl,BarrelBot,,TRUE,0,0,0,,,
emoji_darryl_angry,,sc/characters.sc,emoji_darryl_angry,BarrelBot,,,3,0,3,,,
emoji_darryl_gg,,sc/characters.sc,emoji_darryl_gg,BarrelBot,,,4,1,5,,,
emoji_darryl_sad,,sc/characters.sc,emoji_darryl_sad,BarrelBot,,,2,0,2,,,
emoji_darryl_thanks,,sc/characters.sc,emoji_darryl_thanks,BarrelBot,,,4,2,4,,,
emoji_dynamike,,sc/characters.sc,emoji_dynamike,TntDude,,TRUE,0,0,0,,,
emoji_dynamike_angry,,sc/characters.sc,emoji_dynamike_angry,TntDude,,,3,0,3,,,
emoji_dynamike_gg,,sc/characters.sc,emoji_dynamike_gg,TntDude,,,4,1,5,,,
emoji_dynamike_sad,,sc/characters.sc,emoji_dynamike_sad,TntDude,,,2,0,2,,,
emoji_dynamike_thanks,,sc/characters.sc,emoji_dynamike_thanks,TntDude,,,4,2,4,,,
emoji_ecstatic,,sc/characters.sc,emoji_ecstatic,,,,4,,0,,,
emoji_emz,,sc/characters.sc,emoji_emz,Mummy,,TRUE,0,0,0,,,
emoji_emz_angry,,sc/characters.sc,emoji_emz_angry,Mummy,,,3,0,3,,,
emoji_emz_gg,,sc/characters.sc,emoji_emz_gg,Mummy,,,4,1,5,,,
emoji_emz_sad,,sc/characters.sc,emoji_emz_sad,Mummy,,,2,0,2,,,
emoji_emz_thanks,,sc/characters.sc,emoji_emz_thanks,Mummy,,,4,2,4,,,
emoji_frank,,sc/characters.sc,emoji_frank,HammerDude,,TRUE,0,0,0,,,
emoji_frank_angry,,sc/characters.sc,emoji_frank_angry,HammerDude,,,3,0,3,,,
emoji_frank_gg,,sc/characters.sc,emoji_frank_gg,HammerDude,,,4,1,5,,,
emoji_frank_sad,,sc/characters.sc,emoji_frank_sad,HammerDude,,,2,0,2,,,
emoji_frank_thanks,,sc/characters.sc,emoji_frank_thanks,HammerDude,,,4,2,4,,,
emoji_frenzied,,sc/characters.sc,emoji_frenzied,,,,4,,0,,,
emoji_gene,,sc/characters.sc,emoji_gene,HookDude,,TRUE,0,0,0,,,
emoji_gene_angry,,sc/characters.sc,emoji_gene_angry,HookDude,,,3,0,3,,,
emoji_gene_gg,,sc/characters.sc,emoji_gene_gg,HookDude,,,4,1,5,,,
emoji_gene_sad,,sc/characters.sc,emoji_gene_sad,HookDude,,,2,0,2,,,
emoji_gene_thanks,,sc/characters.sc,emoji_gene_thanks,HookDude,,,4,2,4,,,
emoji_grin,,sc/characters.sc,emoji_grin,,,,4,,0,,,
emoji_happy,,sc/characters.sc,emoji_happy,,,,1,0,1,,,
emoji_jacky,,sc/characters.sc,emoji_jacky,Driller,,TRUE,0,0,0,,,
emoji_jacky_angry,,sc/characters.sc,emoji_jacky_angry,Driller,,,3,0,3,,,
emoji_jacky_gg,,sc/characters.sc,emoji_jacky_gg,Driller,,,4,1,5,,,
emoji_jacky_sad,,sc/characters.sc,emoji_jacky_sad,Driller,,,2,0,2,,,
emoji_jacky_thanks,,sc/characters.sc,emoji_jacky_thanks,Driller,,,4,2,4,,,
emoji_jessie,,sc/characters.sc,emoji_jessie,Mechanic,,TRUE,0,0,0,,,
emoji_jessie_angry,,sc/characters.sc,emoji_jessie_angry,Mechanic,,,3,0,3,,,
emoji_jessie_gg,,sc/characters.sc,emoji_jessie_gg,Mechanic,,,4,1,5,,,
emoji_jessie_sad,,sc/characters.sc,emoji_jessie_sad,Mechanic,,,2,0,2,,,
emoji_jessie_thanks,,sc/characters.sc,emoji_jessie_thanks,Mechanic,,,4,2,4,,,
emoji_laugh,,sc/characters.sc,emoji_laugh,,,,4,,0,,,
emoji_leon,,sc/characters.sc,emoji_leon,Ninja,,TRUE,0,0,0,,,
emoji_leon_angry,,sc/characters.sc,emoji_leon_angry,Ninja,,,3,0,3,,,
emoji_leon_gg,,sc/characters.sc,emoji_leon_gg,Ninja,,,4,1,5,,,
emoji_leon_sad,,sc/characters.sc,emoji_leon_sad,Ninja,,,2,0,2,,,
emoji_leon_thanks,,sc/characters.sc,emoji_leon_thanks,Ninja,,,4,2,4,,,
emoji_mortis,,sc/characters.sc,emoji_mortis,Undertaker,,TRUE,0,0,0,,,
emoji_mortis_angry,,sc/characters.sc,emoji_mortis_angry,Undertaker,,,3,0,3,,,
emoji_mortis_gg,,sc/characters.sc,emoji_mortis_gg,Undertaker,,,4,1,5,,,
emoji_mortis_sad,,sc/characters.sc,emoji_mortis_sad,Undertaker,,,2,0,2,,,
emoji_mortis_thanks,,sc/characters.sc,emoji_mortis_thanks,Undertaker,,,4,2,4,,,
emoji_nita,,sc/characters.sc,emoji_nita,Shaman,,TRUE,0,0,0,,,
emoji_nita_angry,,sc/characters.sc,emoji_nita_angry,Shaman,,,3,0,3,,,
emoji_nita_gg,,sc/characters.sc,emoji_nita_gg,Shaman,,,4,1,5,,,
emoji_nita_sad,,sc/characters.sc,emoji_nita_sad,Shaman,,,2,0,2,,,
emoji_nita_thanks,,sc/characters.sc,emoji_nita_thanks,Shaman,,,4,2,4,,,
emoji_pam,,sc/characters.sc,emoji_pam,MinigunDude,,TRUE,0,0,0,,,
emoji_pam_angry,,sc/characters.sc,emoji_pam_angry,MinigunDude,,,3,0,3,,,
emoji_pam_gg,,sc/characters.sc,emoji_pam_gg,MinigunDude,,,4,1,5,,,
emoji_pam_sad,,sc/characters.sc,emoji_pam_sad,MinigunDude,,,2,0,2,,,
emoji_pam_thanks,,sc/characters.sc,emoji_pam_thanks,MinigunDude,,,4,2,4,,,
emoji_penny,,sc/characters.sc,emoji_penny,ArtilleryDude,,TRUE,0,0,0,,,
emoji_penny_angry,,sc/characters.sc,emoji_penny_angry,ArtilleryDude,,,3,0,3,,,
emoji_penny_gg,,sc/characters.sc,emoji_penny_gg,ArtilleryDude,,,4,1,5,,,
emoji_penny_sad,,sc/characters.sc,emoji_penny_sad,ArtilleryDude,,,2,0,2,,,
emoji_penny_thanks,,sc/characters.sc,emoji_penny_thanks,ArtilleryDude,,,4,2,4,,,
emoji_piper,,sc/characters.sc,emoji_piper,Sniper,,TRUE,0,0,0,,,
emoji_piper_angry,,sc/characters.sc,emoji_piper_angry,Sniper,,,3,0,3,,,
emoji_piper_gg,,sc/characters.sc,emoji_piper_gg,Sniper,,,4,1,5,,,
emoji_piper_sad,,sc/characters.sc,emoji_piper_sad,Sniper,,,2,0,2,,,
emoji_piper_thanks,,sc/characters.sc,emoji_piper_thanks,Sniper,,,4,2,4,,,
emoji_poco,,sc/characters.sc,emoji_poco,DeadMariachi,,TRUE,0,0,0,,,
emoji_poco_angry,,sc/characters.sc,emoji_poco_angry,DeadMariachi,,,3,0,3,,,
emoji_poco_gg,,sc/characters.sc,emoji_poco_gg,DeadMariachi,,,4,1,5,,,
emoji_poco_sad,,sc/characters.sc,emoji_poco_sad,DeadMariachi,,,2,0,2,,,
emoji_poco_thanks,,sc/characters.sc,emoji_poco_thanks,DeadMariachi,,,4,2,4,,,
emoji_primo,,sc/characters.sc,emoji_primo,Luchador,,TRUE,0,0,0,,,
emoji_primo_angry,,sc/characters.sc,emoji_primo_angry,Luchador,,,3,0,3,,,
emoji_primo_gg,,sc/characters.sc,emoji_primo_gg,Luchador,,,4,1,5,,,
emoji_primo_sad,,sc/characters.sc,emoji_primo_sad,Luchador,,,2,0,2,,,
emoji_primo_thanks,,sc/characters.sc,emoji_primo_thanks,Luchador,,,4,2,4,,,
emoji_rage,,sc/characters.sc,emoji_rage,,,,3,0,0,,,TRUE
emoji_rico,,sc/characters.sc,emoji_rico,TrickshotDude,,TRUE,0,0,0,,,
emoji_rico_angry,,sc/characters.sc,emoji_rico_angry,TrickshotDude,,,3,0,3,,,
emoji_rico_gg,,sc/characters.sc,emoji_rico_gg,TrickshotDude,,,4,1,5,,,
emoji_rico_sad,,sc/characters.sc,emoji_rico_sad,TrickshotDude,,,2,0,2,,,
emoji_rico_thanks,,sc/characters.sc,emoji_rico_thanks,TrickshotDude,,,4,2,4,,,
emoji_rosa,,sc/characters.sc,emoji_rosa,Rosa,,TRUE,0,0,0,,,
emoji_rosa_angry,,sc/characters.sc,emoji_rosa_angry,Rosa,,,3,0,3,,,
emoji_rosa_gg,,sc/characters.sc,emoji_rosa_gg,Rosa,,,4,1,5,,,
emoji_rosa_sad,,sc/characters.sc,emoji_rosa_sad,Rosa,,,2,0,2,,,
emoji_rosa_thanks,,sc/characters.sc,emoji_rosa_thanks,Rosa,,,4,2,4,,,
emoji_sad,,sc/characters.sc,emoji_sad,,,,2,0,2,,,TRUE
emoji_sandy,,sc/characters.sc,emoji_sandy,Sandstorm,,TRUE,0,0,0,,,
emoji_sandy_angry,,sc/characters.sc,emoji_sandy_angry,Sandstorm,,,3,0,3,,,
emoji_sandy_gg,,sc/characters.sc,emoji_sandy_gg,Sandstorm,,,4,1,5,,,
emoji_sandy_sad,,sc/characters.sc,emoji_sandy_sad,Sandstorm,,,2,0,2,,,
emoji_sandy_thanks,,sc/characters.sc,emoji_sandy_thanks,Sandstorm,,,4,2,4,,,
emoji_shelly,,sc/characters.sc,emoji_shelly,ShotgunGirl,,TRUE,0,0,0,,,
emoji_shelly_angry,,sc/characters.sc,emoji_shelly_angry,ShotgunGirl,,,3,0,3,,,
emoji_shelly_gg,,sc/characters.sc,emoji_shelly_gg,ShotgunGirl,,,4,1,5,,,
emoji_shelly_sad,,sc/characters.sc,emoji_shelly_sad,ShotgunGirl,,,2,0,2,,,
emoji_shelly_thanks,,sc/characters.sc,emoji_shelly_thanks,ShotgunGirl,,,4,2,4,,,
emoji_shocked,,sc/characters.sc,emoji_shocked,,,,4,,0,,,
emoji_smile,,sc/characters.sc,emoji_smile,,,,1,,0,,,TRUE
emoji_speechless,,sc/characters.sc,emoji_speechless,,,,4,,0,,,
emoji_spike,,sc/characters.sc,emoji_spike,Cactus,,TRUE,0,0,0,,,
emoji_spike_angry,,sc/characters.sc,emoji_spike_angry,Cactus,,,3,0,3,,,
emoji_spike_gg,,sc/characters.sc,emoji_spike_gg,Cactus,,,4,1,5,,,
emoji_spike_sad,,sc/characters.sc,emoji_spike_sad,Cactus,,,2,0,2,,,
emoji_spike_thanks,,sc/characters.sc,emoji_spike_thanks,Cactus,,,4,2,4,,,
emoji_sprout,,sc/characters.sc,emoji_sprout,Wally,,TRUE,0,0,0,,,
emoji_sprout_angry,,sc/characters.sc,emoji_sprout_angry,Wally,,,3,0,3,,,
emoji_sprout_gg,,sc/characters.sc,emoji_sprout_gg,Wally,,,4,1,5,,,
emoji_sprout_sad,,sc/characters.sc,emoji_sprout_sad,Wally,,,2,0,2,,,
emoji_sprout_thanks,,sc/characters.sc,emoji_sprout_thanks,Wally,,,4,2,4,,,
emoji_stunned,,sc/characters.sc,emoji_stunned,,,,4,,0,,,
emoji_tara,,sc/characters.sc,emoji_tara,BlackHole,,TRUE,0,0,0,,,
emoji_tara_angry,,sc/characters.sc,emoji_tara_angry,BlackHole,,,3,0,3,,,
emoji_tara_gg,,sc/characters.sc,emoji_tara_gg,BlackHole,,,4,1,5,,,
emoji_tara_sad,,sc/characters.sc,emoji_tara_sad,BlackHole,,,2,0,2,,,
emoji_tara_thanks,,sc/characters.sc,emoji_tara_thanks,BlackHole,,,4,2,4,,,
emoji_thumbsdown,,sc/characters.sc,emoji_thumbsdown,,,,4,,0,,,
emoji_thumbsup,,sc/characters.sc,emoji_thumbsup,,,,4,,0,,,
emoji_tick,,sc/characters.sc,emoji_tick,ClusterBombDude,,TRUE,0,0,0,,,
emoji_tick_angry,,sc/characters.sc,emoji_tick_angry,ClusterBombDude,,,3,0,3,,,
emoji_tick_gg,,sc/characters.sc,emoji_tick_gg,ClusterBombDude,,,4,1,5,,,
emoji_tick_sad,,sc/characters.sc,emoji_tick_sad,ClusterBombDude,,,2,0,2,,,
emoji_tick_thanks,,sc/characters.sc,emoji_tick_thanks,ClusterBombDude,,,4,2,4,,,
emoji_8bit_happy,,sc/characters.sc,emoji_8bit_happy,Arcade,,,1,0,1,,,
emoji_barley_happy,,sc/characters.sc,emoji_barley_happy,Barkeep,,,1,0,1,,,
emoji_bea_happy,,sc/characters.sc,emoji_bea_happy,BeeSniper,,,1,0,1,,,
emoji_bibi_happy,,sc/characters.sc,emoji_bibi_happy,Baseball,,,1,0,1,,,
emoji_bo_happy,,sc/characters.sc,emoji_bo_happy,BowDude,,,1,0,1,,,
emoji_brock_happy,,sc/characters.sc,emoji_brock_happy,RocketGirl,,,1,0,1,,,
emoji_bull_happy,,sc/characters.sc,emoji_bull_happy,BullDude,,,1,0,1,,,
emoji_carl_happy,,sc/characters.sc,emoji_carl_happy,Whirlwind,,,1,0,1,,,
emoji_colt_happy,,sc/characters.sc,emoji_colt_happy,Gunslinger,,,1,0,1,,,
emoji_crow_happy,,sc/characters.sc,emoji_crow_happy,Crow,,,1,0,1,,,
emoji_darryl_happy,,sc/characters.sc,emoji_darryl_happy,BarrelBot,,,1,0,1,,,
emoji_dynamike_happy,,sc/characters.sc,emoji_dynamike_happy,TntDude,,,1,0,1,,,
emoji_emz_happy,,sc/characters.sc,emoji_emz_happy,Mummy,,,1,0,1,,,
emoji_frank_happy,,sc/characters.sc,emoji_frank_happy,HammerDude,,,1,0,1,,,
emoji_gene_happy,,sc/characters.sc,emoji_gene_happy,HookDude,,,1,0,1,,,
emoji_jacky_happy,,sc/characters.sc,emoji_jacky_happy,Driller,,,1,0,1,,,
emoji_jessie_happy,,sc/characters.sc,emoji_jessie_happy,Mechanic,,,1,0,1,,,
emoji_leon_happy,,sc/characters.sc,emoji_leon_happy,Ninja,,,1,0,1,,,
emoji_mortis_happy,,sc/characters.sc,emoji_mortis_happy,Undertaker,,,1,0,1,,,
emoji_nita_happy,,sc/characters.sc,emoji_nita_happy,Shaman,,,1,0,1,,,
emoji_pam_happy,,sc/characters.sc,emoji_pam_happy,MinigunDude,,,1,0,1,,,
emoji_penny_happy,,sc/characters.sc,emoji_penny_happy,ArtilleryDude,,,1,0,1,,,
emoji_piper_happy,,sc/characters.sc,emoji_piper_happy,Sniper,,,1,0,1,,,
emoji_poco_happy,,sc/characters.sc,emoji_poco_happy,DeadMariachi,,,1,0,1,,,
emoji_primo_happy,,sc/characters.sc,emoji_primo_happy,Luchador,,,1,0,1,,,
emoji_rico_happy,,sc/characters.sc,emoji_rico_happy,TrickshotDude,,,1,0,1,,,
emoji_rosa_happy,,sc/characters.sc,emoji_rosa_happy,Rosa,,,1,0,1,,,
emoji_sandy_happy,,sc/characters.sc,emoji_sandy_happy,Sandstorm,,,1,0,1,,,
emoji_shelly_happy,,sc/characters.sc,emoji_shelly_happy,ShotgunGirl,,,1,0,1,,,
emoji_spike_happy,,sc/characters.sc,emoji_spike_happy,Cactus,,,1,0,1,,,
emoji_sprout_happy,,sc/characters.sc,emoji_sprout_happy,Wally,,,1,0,1,,,
emoji_tara_happy,,sc/characters.sc,emoji_tara_happy,BlackHole,,,1,0,1,,,
emoji_tick_happy,,sc/characters.sc,emoji_tick_happy,ClusterBombDude,,,1,0,1,,,
emoji_gale,,sc/characters.sc,emoji_gale,Blower,,TRUE,0,0,0,,,
emoji_gale_angry,,sc/characters.sc,emoji_gale_angry,Blower,,,3,0,3,,,
emoji_gale_gg,,sc/characters.sc,emoji_gale_gg,Blower,,,4,1,5,,,
emoji_gale_happy,,sc/characters.sc,emoji_gale_happy,Blower,,,1,0,1,,,
emoji_gale_sad,,sc/characters.sc,emoji_gale_sad,Blower,,,2,0,2,,,
emoji_gale_thanks,,sc/characters.sc,emoji_gale_thanks,Blower,,,4,2,4,,,
emoji_gale_trader,,sc/characters.sc,emoji_gale_trader,Blower,BlowerTrader,TRUE,4,4,0,,,
emoji_gale_trader_angry,,sc/characters.sc,emoji_gale_trader_angry,Blower,BlowerTrader,,4,4,3,,,
emoji_gale_trader_gg,,sc/characters.sc,emoji_gale_trader_gg,Blower,BlowerTrader,,4,4,5,,,
emoji_gale_trader_happy,,sc/characters.sc,emoji_gale_trader_happy,Blower,BlowerTrader,,4,4,1,,,
emoji_gale_trader_sad,,sc/characters.sc,emoji_gale_trader_sad,Blower,BlowerTrader,,4,4,2,,,
emoji_gale_trader_thanks,,sc/characters.sc,emoji_gale_trader_thanks,Blower,BlowerTrader,,4,4,4,,,
emoji_nani,,sc/characters.sc,emoji_nani,Controller,,TRUE,0,0,0,,,
emoji_nani_angry,,sc/characters.sc,emoji_nani_angry,Controller,,,3,0,3,,,
emoji_nani_gg,,sc/characters.sc,emoji_nani_gg,Controller,,,4,1,5,,,
emoji_nani_happy,,sc/characters.sc,emoji_nani_happy,Controller,,,1,0,1,,,
emoji_nani_sad,,sc/characters.sc,emoji_nani_sad,Controller,,,2,0,2,,,
emoji_nani_thanks,,sc/characters.sc,emoji_nani_thanks,Controller,,,4,2,4,,,
emoji_8bit_phew,,sc/characters.sc,emoji_8bit_phew,Arcade,,,4,2,6,,,
emoji_barley_phew,,sc/characters.sc,emoji_barley_phew,Barkeep,,,4,2,6,,,
emoji_bea_phew,,sc/characters.sc,emoji_bea_phew,BeeSniper,,,4,2,6,,,
emoji_bibi_phew,,sc/characters.sc,emoji_bibi_phew,Baseball,,,4,2,6,,,
emoji_bo_phew,,sc/characters.sc,emoji_bo_phew,BowDude,,,4,2,6,,,
emoji_brock_phew,,sc/characters.sc,emoji_brock_phew,RocketGirl,,,4,2,6,,,
emoji_bull_phew,,sc/characters.sc,emoji_bull_phew,BullDude,,,4,2,6,,,
emoji_carl_phew,,sc/characters.sc,emoji_carl_phew,Whirlwind,,,4,2,6,,,
emoji_colt_phew,,sc/characters.sc,emoji_colt_phew,Gunslinger,,,4,2,6,,,
emoji_crow_phew,,sc/characters.sc,emoji_crow_phew,Crow,,,4,2,6,,,
emoji_darryl_phew,,sc/characters.sc,emoji_darryl_phew,BarrelBot,,,4,2,6,,,
emoji_dynamike_phew,,sc/characters.sc,emoji_dynamike_phew,TntDude,,,4,2,6,,,
emoji_emz_phew,,sc/characters.sc,emoji_emz_phew,Mummy,,,4,2,6,,,
emoji_frank_phew,,sc/characters.sc,emoji_frank_phew,HammerDude,,,4,2,6,,,
emoji_gale_phew,,sc/characters.sc,emoji_gale_phew,Blower,,,4,2,6,,,
emoji_gale_trader_phew,,sc/characters.sc,emoji_gale_trader_phew,Blower,BlowerTrader,,4,4,6,,,
emoji_gene_phew,,sc/characters.sc,emoji_gene_phew,HookDude,,,4,2,6,,,
emoji_jacky_phew,,sc/characters.sc,emoji_jacky_phew,Driller,,,4,2,6,,,
emoji_jessie_phew,,sc/characters.sc,emoji_jessie_phew,Mechanic,,,4,2,6,,,
emoji_leon_phew,,sc/characters.sc,emoji_leon_phew,Ninja,,,4,2,6,,,
emoji_max_phew,,sc/characters.sc,emoji_max_phew,,,,4,2,6,,,
emoji_mortis_phew,,sc/characters.sc,emoji_mortis_phew,Undertaker,,,4,2,6,,,
emoji_mrp_phew,,sc/characters.sc,emoji_mrp_phew,,,,4,2,6,,,
emoji_nani_phew,,sc/characters.sc,emoji_nani_phew,Controller,,,4,2,6,,,
emoji_nita_phew,,sc/characters.sc,emoji_nita_phew,Shaman,,,4,2,6,,,
emoji_pam_phew,,sc/characters.sc,emoji_pam_phew,MinigunDude,,,4,2,6,,,
emoji_penny_phew,,sc/characters.sc,emoji_penny_phew,ArtilleryDude,,,4,2,6,,,
emoji_piper_phew,,sc/characters.sc,emoji_piper_phew,Sniper,,,4,2,6,,,
emoji_poco_phew,,sc/characters.sc,emoji_poco_phew,DeadMariachi,,,4,2,6,,,
emoji_primo_phew,,sc/characters.sc,emoji_primo_phew,Luchador,,,4,2,6,,,
emoji_rico_phew,,sc/characters.sc,emoji_rico_phew,TrickshotDude,,,4,2,6,,,
emoji_rosa_phew,,sc/characters.sc,emoji_rosa_phew,Rosa,,,4,2,6,,,
emoji_sandy_phew,,sc/characters.sc,emoji_sandy_phew,Sandstorm,,,4,2,6,,,
emoji_shelly_phew,,sc/characters.sc,emoji_shelly_phew,ShotgunGirl,,,4,2,6,,,
emoji_spike_phew,,sc/characters.sc,emoji_spike_phew,Cactus,,,4,2,6,,,
emoji_sprout_phew,,sc/characters.sc,emoji_sprout_phew,Wally,,,4,2,6,,,
emoji_tara_phew,,sc/characters.sc,emoji_tara_phew,BlackHole,,,4,2,6,,,
emoji_tick_phew,,sc/characters.sc,emoji_tick_phew,ClusterBombDude,,,4,2,6,,,
emoji_carl_special,,sc/characters.sc,emoji_carl_special,Whirlwind,,,4,2,7,,,
emoji_colt_special,,sc/characters.sc,emoji_colt_special,Gunslinger,,,4,2,7,,,
emoji_emz_special,,sc/characters.sc,emoji_emz_special,Mummy,,,4,2,7,,,
emoji_poco_special,,sc/characters.sc,emoji_poco_special,DeadMariachi,,,4,2,7,,,
emoji_sandy_special,,sc/characters.sc,emoji_sandy_special,Sandstorm,,,4,2,7,,,
emoji_tara_special,,sc/characters.sc,emoji_tara_special,BlackHole,,,4,2,7,,,
emoji_max,,sc/characters.sc,emoji_max,Speedy,,TRUE,0,0,0,,,
emoji_max_angry,,sc/characters.sc,emoji_max_angry,Speedy,,,3,0,3,,,
emoji_max_gg,,sc/characters.sc,emoji_max_gg,Speedy,,,4,1,5,,,
emoji_max_happy,,sc/characters.sc,emoji_max_happy,Speedy,,,1,0,1,,,
emoji_max_sad,,sc/characters.sc,emoji_max_sad,Speedy,,,2,0,2,,,
emoji_max_thanks,,sc/characters.sc,emoji_max_thanks,Speedy,,,4,2,4,,,
emoji_mrp,,sc/characters.sc,emoji_mrp,SpawnerDude,,TRUE,0,0,0,,,
emoji_mrp_angry,,sc/characters.sc,emoji_mrp_angry,SpawnerDude,,,3,0,3,,,
emoji_mrp_gg,,sc/characters.sc,emoji_mrp_gg,SpawnerDude,,,4,1,5,,,
emoji_mrp_happy,,sc/characters.sc,emoji_mrp_happy,SpawnerDude,,,1,0,1,,,
emoji_mrp_sad,,sc/characters.sc,emoji_mrp_sad,SpawnerDude,,,2,0,2,,,
emoji_mrp_thanks,,sc/characters.sc,emoji_mrp_thanks,SpawnerDude,,,4,2,4,,,
emoji_surge,,sc/characters.sc,emoji_surge,PowerLeveler,,TRUE,0,0,0,,,
emoji_surge_angry,,sc/characters.sc,emoji_surge_angry,PowerLeveler,,,3,0,3,,,
emoji_surge_gg,,sc/characters.sc,emoji_surge_gg,PowerLeveler,,,4,1,5,,,
