Name,Character,Model,ModelCNOverride,GadgetModel,PortraitCameraFile,IntroCameraFile,MirrorIntro,IdleAnim,WalkAnim,PrimarySkillAnim,SecondarySkillAnim,PrimarySkillRecoilAnim,PrimarySkillRecoilAnim2,SecondarySkillRecoilAnim,SecondarySkillRecoilAnim2,ReloadingAnim,PushbackAnim,HappyAnim,HappyLoopAnim,SadAnim,SadLoopAnim,HeroScreenIdleAnim,HeroScreenAnim,HeroScreenLoopAnim,SignatureAnim,HappyEnterAnim,SadEnterAnim,ProfileAnim,IntroAnim,BossAutoAttackAnim,BossAutoAttackRecoilAnim,BossAutoAttackRecoilAnim2,GadgetActiveAnim,GadgetRecoilAnim,IdleFace,WalkFace,HappyFace,HappyLoopFace,SadFace,SadLoopFace,HeroScreenIdleFace,HeroScreenFace,HeroScreenLoopFace,SignatureFace,ProfileFace,IntroFace,HappyEffect,SadEffect,PetInSameSprite,AttackLocksAttackAngle,UltiLocksAttackAngle,MainAttackProjectile,SecondaryProjectile,UltiProjectile,MainAttackEffect,UltiAttackEffect,UseBlueTextureInMenus,MainAttackUseEffect,UltiUseEffect,UltiEndEffect,MeleeHitEffect,SpawnEffect,UltiLoopEffect,UltiLoopEffect2,StarPower1Effect,StarPower2Effect,AreaEffect,AreaEffectStarPower,AreaEffectStarPower2,AreaEffectAttack,SpawnedItem,KillCelebrationSoundVO,InLeadCelebrationSoundVO,StartSoundVO,UseUltiSoundVO,TakeDamageSoundVO,DeathSoundVO,AttackSoundVO,BoneEffect1,BoneEffect2,BoneEffect3,BoneEffect4,BoneEffectUse,AutoAttackProjectile,ProjectileForShockyStarPower,IncendiaryStarPowerAreaEffect,MoveEffect,StillEffect,ChargedShotEffect,DisableHeadRotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GunSlingerHanbok,Gunslinger,colt_hanbok_geo.scw,,,colt_base_cam.scw,emz_intro_pose.scw,,GunslingerIdle,GunslingerWalk,GunslingerPrimary,GunslingerSecondary,GunslingerRecoil,GunslingerRecoil2,GunslingerRecoil,GunslingerRecoil2,GunslingerReload,GunslingerPushback,GunslingerWin,GunslingerWinloop,GunslingerLose,GunslingerLoseloop,GunslingerIdle,GunslingerWin,GunslingerWinloop,GunslingerWin,GunslingerIdle,GunslingerIdle,GunslingerProfile,GunslingerProfile,,,,,,ColtFace,ColtFace,ColtHappy,ColtFace,ColtSad,ColtSadLoop,ColtFace,ColtHappy,ColtFace,ColtHappy,ColtStill,ColtStill,,,,,,Colt002Projectile,,Colt002UltiProjectile,colt_002_atk,colt_002_ulti,,,colt_002_ulti_use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GunslingerPirate,Gunslinger,colt_pirate_geo.scw,,,colt_base_cam.scw,emz_intro_pose.scw,,GunslingerPirateIdle,GunslingerPirateWalk,GunslingerPiratePrimary,GunslingerPiratePrimary,GunslingerPirateRecoil,GunslingerPirateRecoil2,GunslingerPirateRecoil,GunslingerPirateRecoil2,GunslingerPirateReload,GunslingerPiratePushBack,GunslingerPirateWin,GunslingerPirateWinloop,GunslingerPirateLose,GunslingerPirateLoseloop,GunslingerPirateIdle,GunslingerPirateWin,GunslingerPirateWinloop,GunslingerPirateWin,GunslingerPirateIdle,GunslingerPirateIdle,GunslingerPirateProfile,GunslingerPirateProfile,,,,,,Colt003Still,Colt003Still,Colt003Win,Colt003WinLoop,Colt003Lose,Colt003LoseLoop,Colt003WinLoop,Colt003Win,Colt003WinLoop,Colt003Win,Colt003Still,Colt003Still,,,,,,Colt003Projectile,,Colt003UltiProjectile,colt_003_atk,colt_003_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GunSlingerPlayer,Gunslinger,colt_player_geo.scw,,,colt_base_cam.scw,emz_intro_pose.scw,,GunslingerIdle,GunslingerWalk,GunslingerPrimary,GunslingerSecondary,GunslingerRecoil,GunslingerRecoil2,GunslingerRecoil,GunslingerRecoil2,GunslingerReload,GunslingerPushback,GunslingerPlayerWin,GunslingerPlayerWinloop,GunslingerPlayerLose,GunslingerPlayerLoseloop,GunslingerIdle,GunslingerPlayerWin,GunslingerPlayerWinloop,GunslingerPlayerWin,GunslingerIdle,GunslingerIdle,GunslingerPlayerWinloop,GunslingerProfile,,,,,,Colt002Face,ColtFace,Colt002Happy,Colt002Face,Colt002Sad,ColtSadLoop,Colt002Face,Colt002Happy,Colt002Face,Colt002Happy,Colt002Still,Colt002Still,,,,,,Colt004Projectile,,Colt004UltiProjectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GunSlingerBadass,Gunslinger,colt_badass_geo.scw,,,colt_base_cam.scw,emz_intro_pose.scw,,GunslingerIdle,GunslingerWalk,GunslingerPrimary,GunslingerSecondary,GunslingerRecoil,GunslingerRecoil2,GunslingerRecoil,GunslingerRecoil2,GunslingerReload,GunslingerPushback,GunslingerWin,GunslingerWinloop,GunslingerLose,GunslingerLoseloop,GunslingerIdle,GunslingerWin,GunslingerWinloop,GunslingerWin,GunslingerIdle,GunslingerIdle,GunslingerProfile,GunslingerProfile,,,,,,ColtFace,ColtFace,ColtHappy,ColtFace,ColtSad,ColtSadLoop,ColtFace,ColtHappy,ColtFace,ColtHappy,ColtStill,ColtStill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BullGuyDefault,BullDude,bull_geo.scw,,,meg_portrait.glb,emz_intro_pose.scw,,MegIdle,MegWalk,MegAttack,MegSuper,MegRecoil,,MegSuperRecoil,,MegReload,BeaPushback,MegWin,MegWinloop,MegLose,MegLoseloop,MegIdle,MegWin,MegWinloop,MegWin,MegIdle,MegLose,MegPortrait,MegPortrait,,,,,,MegStill,MegStill,MegWin,MegWinLoop,MegLose,MegLoseLoop,MegWinLoop,MegWin,MegWinLoop,MegWin,MegStill,MegStill,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BullGuyHair,BullDude,bull_viking_geo.scw,,,bull_base_cam.scw,emz_intro_pose.scw,,BullVikingIdle,BullVikingWalk,BullVikingPrimary,BullVikingSecondary,BullVikingRecoil,,BullVikingRecoil,,BullVikingIdle,BullVikingPushback,BullVikingWin,BullVikingWinloop,BullVikingLose,BullVikingLoseloop,BullVikingIdle,BullVikingWin,BullVikingWinloop,BullVikingWin,BullVikingIdle,BullVikingIdle,BullGuyHairProfile,BullGuyHairProfile,,,,,,BullStill,BullStill,BullWin,BullWinLoop,BullLose,BullLoseLoop,BullWinLoop,BullWin,BullWinLoop,BullWin,BullStill,BullStill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BullGuyFootbull,BullDude,bull_footbull_geo.scw,,,bull_base_cam.scw,emz_intro_pose.scw,,BullRockIdle,BullRockWalk,BullRockPrimary,BullRockSecondary,BullRockRecoil,,BullRockRecoil,,BullRockReload,BullRockPushback,BullFootbullWin,BullFootbullWinloop,BullFootbullLose,BullFootbullLoseloop,BullRockIdle,BullFootbullWin,BullFootbullWinloop,BullFootbullWin,BullRockIdle,BullRockIdle,BullRockProfile,BullRockProfile,,,,,,BullStill,BullStill,BullWin,BullWinLoop,BullLose,BullLoseLoop,BullWinLoop,BullWin,BullWinLoop,BullWin,BullStill,BullStill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BullDudeBarbking,BullDude,bull_barbking_geo.scw,,,bull_barbking_cam.scw,emz_intro_pose.scw,,BullBarbkingIdle,BullBarbkingWalk,BullBarbkingPrimary,BullBarbkingSecondary,BullBarbkingRecoil,,BullBarbkingRecoil,,BullBarbkingReload,BullBarbkingPushback,BullBarbkingWin,BullBarbkingWinloop,BullBarbkingLose,BullBarbkingLoseloop,BullBarbkingIdle,BullBarbkingWin,BullBarbkingWinloop,BullBarbkingWin,BullBarbkingIdle,BullBarbkingIdle,BullBarbkingProfile,BullBarbkingProfile,,,,,,Bull002Still,Bull002Still,Bull002Win,Bull002WinLoop,Bull002Lose,Bull002LoseLoop,Bull002WinLoop,Bull002Win,Bull002WinLoop,Bull002Win,Bull002Still,Bull002Still,,,,true,,Bull002Projectile,,,bull_002_atk,,,bull_002_atk_use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BullGuyOx,BullDude,bull_ox_geo.scw,,,bull_ox_portrait.scw,emz_intro_pose.scw,,BullRockIdle,BullRockWalk,BullRockPrimary,BullRockSecondary,BullRockRecoil,,BullRockRecoil,,BullRockReload,BullRockPushback,BullDudeLaserWin,BullDudeLaserWinloop,BullDudeLaserLose,BullDudeLaserLoseloop,BullRockIdle,BullDudeLaserWin,BullDudeLaserWinloop,BullDudeLaserWin,BullRockIdle,BullRockIdle,BullDudeLaserWinloop,BullDudeLaserWinloop,,,,,,Bull003WinLoop,Bull003WinLoop,Bull003Win,Bull003WinLoop,Bull003Lose,Bull003LoseLoop,Bull003WinLoop,Bull003Win,Bull003WinLoop,Bull003Win,Bull003Still,Bull003Still,,,,true,,Bull003Projectile,,,bull_003_atk,,,,,,,,,,,,,,,,,Visor_Bull_Kill_VO,Visor_Bull_Lead_VO,Visor_Bull_Start_VO,Visor_Bull_Ulti_VO,Visor_Bull_Hurt_VO,Visor_Bull_Die_VO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RocketGirlDefault,RocketGirl,brock_geo.scw,,,leon_base_cam.scw,leon_intro_pose.scw,,LeonIdle,LeonWalk,LeonAttack,LeonSecondary,LeonRecoil,LeonRecoil2,LeonRecoil,,LeonReload,LeonPushback,LeonWin,LeonWinloop,LeonLose,LeonLoseloop,LeonIdle,LeonWin,LeonWinloop,LeonWin,LeonIdle,LeonIdle,LeonProfile,LeonIntro,,,,,,LeonIdle,LeonIdle,LeonWin,LeonWinLoop,LeonLose,LeonLoseLoop,LeonIdle,LeonWin,LeonWinLoop,LeonWin,LeonIdle,LeonIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RocketGirlBeach,RocketGirl,brock_beach_geo.scw,,,brock_base_cam.scw,emz_intro_pose.scw,,BrockIdle,BrockWalk,BrockPrimary,BrockSecondary,BrockRecoil,,BrockRecoil2,,BrockIdle,BrockPushback,BrockWin,BrockWinloop,BrockLose,BrockLoseloop,BrockIdle,BrockWin,BrockWinloop,BrockWin,BrockIdle,BrockIdle,BrockProfile,BrockProfile,,,,,,BrockStill,BrockStill,BrockWin,BrockWinLoop,BrockLose,BrockLoseLoop,BrockWinLoop,BrockWin,BrockWinLoop,BrockWin,BrockStill,BrockStill,,,,,,Brock004Projectile,,Brock004UltiProjectile,beach_brock_def_atk,beach_brock_def_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BurnMainAttackWater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RocketGirlBoombox,RocketGirl,brock_boombox_geo.scw,,,brock_base_cam.scw,emz_intro_pose.scw,,BrockBoomboxIdle,BrockBoomboxWalk,BrockBoomboxPrimary,BrockBoomboxSecondary,BrockBoomboxRecoil,,BrockBoomboxRecoil2,,BrockBoomboxIdle,BrockPushback,BrockBoomboxWinIntro,BrockBoomboxWin,BrockBoomboxLose,BrockBoomboxLoseloop,BrockBoomboxIdle,BrockBoomboxWinIntro,BrockBoomboxWin,BrockBoomboxWin,BrockBoomboxIdle,BrockBoomboxIdle,BrockBoomboxProfile,BrockBoomboxProfile,,,,,,Brock002Still,Brock002Still,Brock002Win,Brock002WinLoop,Brock002Lose,Brock002LoseLoop,Brock002WinLoop,Brock002Win,Brock002WinLoop,Brock002Win,Brock002Still,Brock002Still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RocketGirlCny,RocketGirl,brock_cny_geo.scw,,,brock_base_cam.scw,emz_intro_pose.scw,,BrockIdle,BrockWalk,BrockPrimary,BrockSecondary,BrockRecoil,,BrockRecoil2,,BrockIdle,BrockPushback,BrockBoomboxWinIntro,BrockBoomboxWin,BrockLose,BrockLoseloop,BrockIdle,BrockBoomboxWinIntro,BrockBoomboxWin,BrockBoomboxWin,BrockIdle,BrockIdle,BrockProfile,BrockProfile,,,,,,Brock002Still,Brock002Still,Brock002Win,Brock002WinLoop,Brock002Lose,Brock002LoseLoop,Brock002WinLoop,Brock002Win,Brock002WinLoop,Brock002Win,Brock002Still,Brock002Still,,,,,,Brock002Projectile,,Brock002UltiProjectile,brock_002_atk,brock_002_atk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RocketGirlHotrod,RocketGirl,brock_hotrod_geo.scw,,,brock_base_cam.scw,emz_intro_pose.scw,,BrockHotrodIdle,BrockHotrodWalk,BrockHotrodPrimary,BrockHotrodSecondary,BrockHotrodRecoil,,BrockHotrodRecoil2,,BrockHotrodIdle,BrockHotrodPushback,BrockHotrodWin,BrockHotrodWinloop,BrockHotrodLose,BrockHotrodLoseloop,BrockHotrodIdle,BrockHotrodWin,BrockHotrodWinloop,BrockHotrodIdle,BrockHotrodIdle,BrockHotrodIdle,BrockProfile,BrockProfile,,,,,,BrockStill,BrockStill,BrockWin,BrockWinLoop,BrockLose,BrockLoseLoop,BrockWinLoop,BrockWin,BrockWinLoop,BrockWin,BrockStill,BrockStill,,,,,,Brock003Projectile,,Brock003UltiProjectile,brock_003_atk,brock_003_atk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RocketGirlRanger,RocketGirl,brock_ranger_geo.glb,,,brock_ranger_portrait.scw,emz_intro_pose.scw,,BrockIdle,BrockWalk,BrockPrimary,BrockSecondary,BrockRecoil,,BrockRecoil2,,BrockIdle,BrockPushback,BrockRangerWin,BrockWinloop,BrockLose,BrockLoseloop,BrockIdle,BrockRangerWin,BrockWinloop,BrockRangerWin,BrockIdle,BrockIdle,BrockRangerProfile,BrockProfile,,,,,,,,,,,,,,,,,,,,,,,Brock005Projectile,,Brock005UltiProjectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RocketGirlRedux,RocketGirl,brock_redux_geo.scw,,,brock_base_cam.scw,emz_intro_pose.scw,,BrockIdle,BrockWalk,BrockPrimary,BrockSecondary,BrockRecoil,,BrockRecoil2,,BrockIdle,BrockPushback,BrockBoomboxWinIntro,BrockBoomboxWin,BrockLose,BrockLoseloop,BrockIdle,BrockBoomboxWinIntro,BrockBoomboxWin,BrockBoomboxWin,BrockIdle,BrockIdle,BrockProfile,BrockProfile,,,,,,Brock002Still,Brock002Still,Brock002Win,Brock002WinLoop,Brock002Lose,Brock002LoseLoop,Brock002WinLoop,Brock002Win,Brock002WinLoop,Brock002Win,Brock002Still,Brock002Still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TntGuyDefault,TntDude,dynamike_geo.scw,,,dynamike_base_cam.scw,emz_intro_pose.scw,,TntguyIdle,TntguyWalk,TntguyPrimary,TntguySecondary,TntguyRecoil,,TntguyUlti,,TntguyReload,TntguyPushback,TntguyWin,TntguyWinloop,TntguyLose,TntguyLoseloop,TntguyIdle,TntguyWin,TntguyWinloop,TntguyWin,TntguyIdle,TntguyIdle,TntguyProfile,TntguyProfile,,,,,,DynaStill,DynaStill,DynaWin,DynaWinLoop,DynaLose,DynaLoseLoop,DynaWinLoop,DynaWin,DynaWinLoop,DynaWin,DynaStill,DynaStill,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TntGuySanta,TntDude,dynamike_santa_geo.scw,,,dynamike_base_cam.scw,emz_intro_pose.scw,,TntguyIdle,TntguyWalk,TntguyPrimary,TntguySecondary,TntguyRecoil,,TntguyUlti,,TntguyReload,TntguyPushback,TntguyWin,TntguyWinloop,TntguyLose,TntguyLoseloop,TntguyIdle,TntguyWin,TntguyWinloop,TntguyWin,TntguyIdle,TntguyIdle,TntguyProfile,TntguyProfile,,,,,,DynaStill,DynaStill,DynaWin,DynaWinLoop,DynaLose,DynaLoseLoop,DynaWinLoop,DynaWin,DynaWinLoop,DynaWin,DynaStill,DynaStill,,,,true,true,TntDudeSantaProjectile,,TntDudeSantaUltiProjectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TntDudeSantaRope,,dynamike_santa_rope_geo.scw,,,dynamike_base_cam.scw,emz_intro_pose.scw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
