Name,Disabled,TID,BgPrefix,LocationTheme,GroundSCW,CampaignGroundSCW,EnvironmentSCW,IconSWF,IconExportName,GameMode,AllowedMaps,Music,CommunityCredit,
Gemgrab4,,TID_GOLDRUSH_4,,GiftShop,sc3d/bgr_giftshop_ground.scw,,sc3d/bgr_giftshop.scw,sc/events.sc,event_giftshop,CoinRush,Wanted_3,Giftshop_Level_Music,,
Gemgrab5,,TID_GOLDRUSH_5,,Mine,sc3d/bgr_mine_ground.scw,,sc3d/bgr_mine.scw,sc/events.sc,event_gemmine,CoinRush,Gemgrab_5,BattleMusic,,
Gemgrab6,,TID_GOLDRUSH_6,,Mine,sc3d/bgr_mine_ground.scw,,sc3d/bgr_mine.scw,sc/events.sc,event_gemmine,CoinRush,Gemgrab_4,BattleMusic,,
Survival1,,TID_BATTLE_ROYALE_1,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyale,Survival_1,BattleMusic,,
Survival2,,TID_BATTLE_ROYALE_2,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,sc3d/bgr_canyon_showdown_ground_wf19.scw,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyale,Survival_2,BattleMusic,OwenReds,
Survival3,,TID_BATTLE_ROYALE_3,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,sc3d/bgr_canyon_showdown_ground_wf19.scw,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyale,Survival_3,BattleMusic,,
Survival4,,TID_BATTLE_ROYALE_4,survival_,MortuaryShowdown,sc3d/bgr_mortuary_showdown_ground.scw,,sc3d/bgr_mortuary_showdown.scw,sc/events.sc,event_mortuary_showdown,BattleRoyale,Survival_4,Halloween_ingame,,
Heist1,,TID_BANKHEIST_1,,Minicity,sc3d/bgr_minicity_ground.scw,,sc3d/bgr_minicity.scw,sc/events.sc,event_scity,AttackDefend,Bankheist_1,Monsterbrawl_ingame_muzak,,
Heist2,,TID_BANKHEIST_2,,Default,sc3d/bgr_canyon_ground.scw,,sc3d/bgr_canyon.scw,sc/events.sc,event_canyon,AttackDefend,Bankheist_2,BattleMusic,,
Heist3,,TID_BANKHEIST_3,,Arcade,sc3d/bgr_arcade_ground.scw,,sc3d/bgr_arcade.scw,sc/events.sc,event_arcade,AttackDefend,Bankheist_3,Brawlcade_Ingame,,
Tutorial,,Tutorial,,OldTown,sc3d/bgr_tutorial_ground.scw,,sc3d/bgr_tutorial.scw,sc/events.sc,event_gemmine,Tutorial,Tutorial,BattleMusic,,
BossFight1,,TID_BOSS_4,,Default,sc3d/bgr_canyon_ground.scw,,sc3d/bgr_canyon.scw,sc/events.sc,event_boss,BossFight,BossFight_1,BattleMusic,,
Wanted8,,TID_WANTED_8,,Oasis,sc3d/bgr_jungle_ground.scw,,sc3d/bgr_jungle.scw,sc/events.sc,event_oasis,BountyHunter,Wanted_8,BattleMusic,,
Heist4,,TID_BANKHEIST_4,,Mortuary,sc3d/bgr_mortuary_ground.scw,,sc3d/bgr_mortuary.scw,sc/events.sc,event_mortuary,AttackDefend,Bankheist_4,Halloween_ingame,,
Ball1,,TID_BALL_1,,Grassfield,sc3d/bgr_grassfield_ground.scw,,sc3d/bgr_grassfield.scw,sc/events.sc,event_brawlball,LaserBall,Laserball_1,BattleMusic,,
Ball2,,TID_BALL_2,,Grassfield,sc3d/bgr_grassfield_ground.scw,,sc3d/bgr_grassfield.scw,sc/events.sc,event_brawlball,LaserBall,Laserball_2,BattleMusic,,
Ball3,,TID_BALL_3,,Grassfield,sc3d/bgr_grassfield_ground.scw,,sc3d/bgr_grassfield.scw,sc/events.sc,event_brawlball,LaserBall,Laserball_3,BattleMusic,,
Coop1,,TID_COOP_1,,Default,sc3d/bgr_canyon_ground.scw,,sc3d/bgr_canyon.scw,sc/ui.sc,event_coop,Survival,Coop_1,BattleMusic,,
SurvivalTeam7,,TID_BATTLE_ROYALE_7,survival_,MortuaryShowdown,sc3d/bgr_mortuary_showdown_ground.scw,,sc3d/bgr_mortuary_showdown.scw,sc/events.sc,event_mortuary_showdown,BattleRoyaleTeam,Survival_7,Halloween_ingame,,
Coop2,,TID_COOP_2,,Default,sc3d/bgr_canyon_ground.scw,,sc3d/bgr_canyon.scw,sc/ui.sc,event_coop,Survival,Coop_2,BattleMusic,,
BossFight2,,TID_BOSS_3,,Mine,sc3d/bgr_mine_ground.scw,,sc3d/bgr_mine.scw,sc/events.sc,event_boss,BossFight,BossFight_2,BattleMusic,,
Gemgrab8,,TID_GOLDRUSH_8,,Default,sc3d/bgr_canyon_ground.scw,,sc3d/bgr_canyon.scw,sc/events.sc,event_canyon,CoinRush,Gemgrab_8,BattleMusic,,
Survival5,,TID_BATTLE_ROYALE_5,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyale,Survival_5,BattleMusic,Mordeus,
Survival6,,TID_BATTLE_ROYALE_6,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyale,Survival_6,BattleMusic,,
SurvivalTeam1,,TID_BATTLE_ROYALE_1,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyaleTeam,Survival_1,BattleMusic,,
SurvivalTeam2,,TID_BATTLE_ROYALE_2,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,sc3d/bgr_canyon_showdown_ground_wf19.scw,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyaleTeam,Survival_2,BattleMusic,OwenReds,
SurvivalTeam3,,TID_BATTLE_ROYALE_3,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,sc3d/bgr_canyon_showdown_ground_wf19.scw,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyaleTeam,Survival_3,BattleMusic,,
SurvivalTeam4,,TID_BATTLE_ROYALE_4,survival_,MortuaryShowdown,sc3d/bgr_mortuary_showdown_ground.scw,,sc3d/bgr_mortuary_showdown.scw,sc/events.sc,event_mortuary_showdown,BattleRoyaleTeam,Survival_4,Halloween_ingame,,
SurvivalTeam5,,TID_BATTLE_ROYALE_5,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyaleTeam,Survival_5,BattleMusic,Mordeus,
Coop3,,TID_COOP_6,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/ui.sc,event_coop,Survival,Coop_3,BattleMusic,,
Gemgrab7,,TID_GOLDRUSH_7,,Bazaar,sc3d/bgr_bazaar_ground.scw,,sc3d/bgr_bazaar.scw+sc3d/bgr_bazaar_transmitter.scw,sc/events.sc,event_bazaar,CoinRush,Gemgrab_7,Brawzaar_ingame_muzak,DarkKnight,
Gemgrab10,,TID_GOLDRUSH_10,,Mine,sc3d/bgr_mine_ground.scw,,sc3d/bgr_mine.scw,sc/events.sc,event_gemmine,CoinRush,Gemgrab_10,BattleMusic,Lewinham,
Heist5,,TID_BANKHEIST_5,,Default,sc3d/bgr_canyon_ground.scw,,sc3d/bgr_canyon.scw,sc/events.sc,event_canyon,AttackDefend,Bankheist_5,BattleMusic,Rushalisk,
Survival7,,TID_BATTLE_ROYALE_7,survival_,MortuaryShowdown,sc3d/bgr_mortuary_showdown_ground.scw,,sc3d/bgr_mortuary_showdown.scw,sc/events.sc,event_mortuary_showdown,BattleRoyale,Survival_7,Halloween_ingame,,
SurvivalTeam6,,TID_BATTLE_ROYALE_6,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyaleTeam,Survival_6,BattleMusic,,
Survival8,,TID_BATTLE_ROYALE_8,survival_water_,Default,sc3d/bgr_island_showdown_ground.scw,,,sc/events.sc,event_stormvalley,BattleRoyale,Survival_8,BattleMusic,Rushalisk,
SurvivalTeam8,,TID_BATTLE_ROYALE_8,survival_water_,Default,sc3d/bgr_island_showdown_ground.scw,,,sc/events.sc,event_stormvalley,BattleRoyaleTeam,Survival_8,BattleMusic,Rushalisk,
Heist6,,TID_BANKHEIST_6,,Default,sc3d/bgr_canyon_ground.scw,,sc3d/bgr_canyon.scw,sc/events.sc,event_canyon,AttackDefend,Bankheist_6,BattleMusic,Mordeus,
Gemgrab11,,TID_GOLDRUSH_11,,Mine,sc3d/bgr_mine_ground.scw,,sc3d/bgr_mine.scw,sc/events.sc,event_gemmine,CoinRush,Gemgrab_11,BattleMusic,FatBubblyDragon,
Heist7,,TID_BANKHEIST_7,,Default,sc3d/bgr_canyon_ground.scw,,sc3d/bgr_canyon.scw,sc/events.sc,event_canyon,AttackDefend,Bankheist_7,BattleMusic,Schmedricks,
Ball4,,TID_BALL_4,,Grassfield,sc3d/bgr_grassfield_ground.scw,,sc3d/bgr_grassfield.scw,sc/events.sc,event_brawlball,LaserBall,Laserball_4,BattleMusic,Lex,
Ball6,,TID_BALL_6,,BBArena,sc3d/bgr_bb_arena_ground.scw,,sc3d/bgr_bb_arena.scw+sc3d/bgr_bb_arena_decos_default.scw,sc/events.sc,event_brawlball_arena,LaserBall,Laserball_6,Footbrawl_ingame_muzak,Mordeus,
Ball7,,TID_BALL_7,,Grassfield,sc3d/bgr_grassfield_ground.scw,,sc3d/bgr_grassfield.scw,sc/events.sc,event_brawlball,LaserBall,Laserball_7,BattleMusic,Lewinham,
Heist8,,TID_BANKHEIST_18,,GiftShop,sc3d/bgr_giftshop_ground.scw,,sc3d/bgr_giftshop.scw,sc/events.sc,event_giftshop,AttackDefend,Bankheist_8,Giftshop_Level_Music,AlexEsteAdevarat,
Wanted9,,TID_WANTED_9,,Bazaar,sc3d/bgr_bazaar_ground.scw,,sc3d/bgr_bazaar.scw+sc3d/bgr_bazaar_transmitter.scw,sc/events.sc,event_bazaar,BountyHunter,Wanted_9,Brawzaar_ingame_muzak,thelucas2000,
Survival12,,TID_BATTLE_ROYALE_12,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyale,Survival_12,BattleMusic,Tony_A9,
SurvivalTeam12,,TID_BATTLE_ROYALE_12,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyaleTeam,Survival_12,BattleMusic,Tony_A9,
Raid1,,TID_RAID_2,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/ui.sc,event_raid,Raid,Raid_1,Megalovania_Boss,,
GGxmas1,,TID_GOLDRUSH_XMAS_1,,Snowy,sc3d/bgr_snowy_ground.scw,,sc3d/bgr_snowy.scw,sc/events.sc,event_snow,CoinRush,Wanted_3,Snow_brawl,,
GGxmas2,,TID_GOLDRUSH_XMAS_2,,Snowy,sc3d/bgr_snowy_ground.scw,,sc3d/bgr_snowy.scw,sc/events.sc,event_snow,CoinRush,Gemgrab_7,Snow_brawl,,
GGxmas3,,TID_GOLDRUSH_XMAS_3,,Snowy,sc3d/bgr_snowy_ground.scw,,sc3d/bgr_snowy.scw,sc/events.sc,event_snow,CoinRush,Gemgrab_5,Snow_brawl,,
GGxmas4,,TID_GOLDRUSH_XMAS_4,,Snowy,sc3d/bgr_snowy_ground.scw,,sc3d/bgr_snowy.scw,sc/events.sc,event_snow,CoinRush,Gemgrab_1,Snow_brawl,,
GGxmas5,,TID_GOLDRUSH_XMAS_5,,Snowy,sc3d/bgr_snowy_ground.scw,,sc3d/bgr_snowy.scw,sc/events.sc,event_snow,CoinRush,Gemgrab_4,Snow_brawl,,
GGxmas6,,TID_GOLDRUSH_XMAS_6,,Snowy,sc3d/bgr_snowy_ground.scw,,sc3d/bgr_snowy.scw,sc/events.sc,event_snow,CoinRush,Gemgrab_9,Snow_brawl,,
GGxmas7,,TID_GOLDRUSH_XMAS_7,,Snowy,sc3d/bgr_snowy_ground.scw,,sc3d/bgr_snowy.scw,sc/events.sc,event_snow,CoinRush,Gemgrab_3,Snow_brawl,,
BossFight3,,TID_BOSS_6,,Default,sc3d/bgr_canyon_ground.scw,,sc3d/bgr_canyon.scw,sc/events.sc,event_boss,BossFight,BossFight_3,BattleMusic,,
BossFight4,,TID_BOSS_5,,Mine,sc3d/bgr_mine_ground.scw,,sc3d/bgr_mine.scw,sc/events.sc,event_boss,BossFight,BossFight_4,BattleMusic,,
Raid2,,TID_RAID_3,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/ui.sc,event_raid,Raid,Raid_2,Megalovania_Boss,,
Coop4,,TID_COOP_3,survival_li,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/ui.sc,event_coop,Survival,Coop_4,BattleMusic,,
Heist9,,TID_BANKHEIST_9,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_city,AttackDefend,Bankheist_9,BattleMusic,,
Heist10,,TID_BANKHEIST_10,,OldTown,sc3d/bgr_old_town_ground.scw,sc3d/bgr_old_town_ground_wf19.scw,sc3d/bgr_old_town.scw,sc/events.sc,event_city,AttackDefend,Bankheist_10,BattleMusic,,
Heist11,,TID_BANKHEIST_11,,Default,sc3d/bgr_canyon_ground.scw,,sc3d/bgr_canyon.scw,sc/events.sc,event_canyon,AttackDefend,Bankheist_11,BattleMusic,AeroNautikks,
Heist12,,TID_BANKHEIST_12,,Retropolis,sc3d/bgr_retropolis_ground.scw,,sc3d/bgr_retropolis.scw,sc/events.sc,event_rp,AttackDefend,Bankheist_12,Retropolis_battle,Zagibulenka,
Heist13,,TID_BANKHEIST_13,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_city,AttackDefend,Bankheist_13,BattleMusic,,
LNYHeist1,,TID_BANKHEIST_9,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_lny,AttackDefend,Bankheist_9,Cny_levels,,
,,,,,,,sc3d/bgr_old_town_decos_lny.scw,,,,,,,
LNYHeist2,,TID_BANKHEIST_10,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_lny,AttackDefend,Bankheist_10,Cny_levels,,
,,,,,,,sc3d/bgr_old_town_decos_lny.scw,,,,,,,
LNYHeist3,,TID_BANKHEIST_11,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_lny,AttackDefend,Bankheist_11,Cny_levels,AeroNautikks,
,,,,,,,sc3d/bgr_old_town_decos_lny.scw,,,,,,,
LNYHeist4,,TID_BANKHEIST_12,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_lny,AttackDefend,Bankheist_12,Cny_levels,Zagibulenka,
,,,,,,,sc3d/bgr_old_town_decos_lny.scw,,,,,,,
LNYHeist5,,TID_BANKHEIST_13,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_lny,AttackDefend,Bankheist_13,Cny_levels,,
,,,,,,,sc3d/bgr_old_town_decos_lny.scw,,,,,,,
Wanted10,,TID_WANTED_9,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_city,BountyHunter,Wanted_10,BattleMusic,,
Wanted11,,TID_WANTED_11,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_city,BountyHunter,Wanted_11,BattleMusic,,
Wanted12,,TID_WANTED_12,,Arcade,sc3d/bgr_arcade_ground.scw,,sc3d/bgr_arcade.scw,sc/events.sc,event_arcade,BountyHunter,Wanted_12,Brawlcade_Ingame,,
Wanted13,,TID_WANTED_13,,Arcade,sc3d/bgr_arcade_ground.scw,,sc3d/bgr_arcade.scw,sc/events.sc,event_arcade,BountyHunter,Wanted_13,Brawlcade_Ingame,OwenReds,
Wanted14,,TID_WANTED_14,,Default,sc3d/bgr_canyon_ground.scw,,sc3d/bgr_canyon.scw,sc/events.sc,event_canyon,BountyHunter,Wanted_14,BattleMusic,,
LNYWanted1,,TID_WANTED_9,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_lny,BountyHunter,Wanted_10,Cny_levels,,
,,,,,,,sc3d/bgr_old_town_decos_lny.scw,,,,,,,
LNYWanted2,,TID_WANTED_11,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_lny,BountyHunter,Wanted_11,Cny_levels,,
,,,,,,,sc3d/bgr_old_town_decos_lny.scw,,,,,,,
LNYWanted3,,TID_WANTED_12,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_lny,BountyHunter,Wanted_12,Cny_levels,,
,,,,,,,sc3d/bgr_old_town_decos_lny.scw,,,,,,,
LNYWanted4,,TID_WANTED_13,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_lny,BountyHunter,Wanted_13,Cny_levels,OwenReds,
,,,,,,,sc3d/bgr_old_town_decos_lny.scw,,,,,,,
LNYWanted5,,TID_WANTED_14,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_lny,BountyHunter,Wanted_14,Cny_levels,,
,,,,,,,sc3d/bgr_old_town_decos_lny.scw,,,,,,,
LNYGemgrab1,,TID_GOLDRUSH_4,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_lny,CoinRush,Wanted_3,Cny_levels,,
,,,,,,,sc3d/bgr_old_town_decos_lny.scw,,,,,,,
LNYGemgrab2,,TID_GOLDRUSH_5,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_lny,CoinRush,Gemgrab_5_LNY,Cny_levels,,
,,,,,,,sc3d/bgr_old_town_decos_lny.scw,,,,,,,
LNYGemgrab3,,TID_GOLDRUSH_6,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_lny,CoinRush,Gemgrab_4_LNY,Cny_levels,,
,,,,,,,sc3d/bgr_old_town_decos_lny.scw,,,,,,,
Ball8,,TID_WANTED_10,,Grassfield,sc3d/bgr_grassfield_ground.scw,,sc3d/bgr_grassfield.scw,sc/events.sc,event_brawlball,LaserBall,Laserball_8,BattleMusic,,
Survival10,,TID_BATTLE_ROYALE_10,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyale,Survival_10,BattleMusic,Binnyboy,
SurvivalTeam10,,TID_BATTLE_ROYALE_10,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyaleTeam,Survival_10,BattleMusic,Binnyboy,
Survival13,,TID_BATTLE_ROYALE_D2,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,sc3d/bgr_canyon_showdown_ground_wf19.scw,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyale,Survival_13,BattleMusic,,
SurvivalTeam13,,TID_BATTLE_ROYALE_D2,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,sc3d/bgr_canyon_showdown_ground_wf19.scw,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyaleTeam,Survival_13,BattleMusic,,
Siege1,,TID_ROBO_WARS_6,,Warehouse,sc3d/bgr_warehouse_ground.scw,,sc3d/bgr_warehouse.scw,sc/events.sc,event_robowars,RoboWars,Siege_1,BattleMusic,,
Siege2,,TID_ROBO_WARS_8,,Warehouse,sc3d/bgr_warehouse_ground.scw,sc3d/bgr_warehouse_ground_wf19.scw,sc3d/bgr_warehouse.scw,sc/events.sc,event_robowars,RoboWars,Siege_2,BattleMusic,,
Siege3,,TID_ROBO_WARS_7,,Warehouse,sc3d/bgr_warehouse_ground.scw,,sc3d/bgr_warehouse.scw,sc/events.sc,event_robowars,RoboWars,Siege_3,BattleMusic,,
CRoyale,,TID_BANKHEIST_14,,Oasis,sc3d/bgr_jungle_ground.scw,,sc3d/bgr_jungle.scw,sc/events.sc,event_oasis,AttackDefend,CRoyale,BattleMusic,DuccioCh,
Survival14,,TID_BATTLE_ROYALE_17,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyale,Survival_14,BattleMusic,Maxymus,
SurvivalTeam14,,TID_BATTLE_ROYALE_17,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyaleTeam,Survival_14,BattleMusic,Maxymus,
Survival15,,TID_BATTLE_ROYALE_13,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyale,Survival_15,BattleMusic,Mordeus,
SurvivalTeam15,,TID_BATTLE_ROYALE_13,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyaleTeam,Survival_15,BattleMusic,Mordeus,
Survival16,,TID_BATTLE_ROYALE_19,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyale,Survival_16,BattleMusic,Meme-grabbee,
SurvivalTeam16,,TID_BATTLE_ROYALE_19,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyaleTeam,Survival_16,BattleMusic,Meme-grabbee,
Survival17,,TID_BATTLE_ROYALE_23,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyale,Survival_17,BattleMusic,OwenReds,
SurvivalTeam17,,TID_BATTLE_ROYALE_23,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyaleTeam,Survival_17,BattleMusic,OwenReds,
Survival18,,TID_BATTLE_ROYALE_21,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyale,Survival_18,BattleMusic,Pentagonal Cubes,
SurvivalTeam18,,TID_BATTLE_ROYALE_21,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_stormvalley,BattleRoyaleTeam,Survival_18,BattleMusic,Pentagonal Cubes,
Gemgrab12,,TID_GOLDRUSH_12,,Mine,sc3d/bgr_mine_ground.scw,,sc3d/bgr_mine.scw,sc/events.sc,event_gemmine,CoinRush,Gemgrab_12,BattleMusic,ash,
Gemgrab13,,TID_GOLDRUSH_13,,OldTown,sc3d/bgr_old_town_ground.scw,,sc3d/bgr_old_town.scw,sc/events.sc,event_city,CoinRush,Gemgrab_13,Retropolis_battle,Electra Drake,
Gemgrab14,,TID_GOLDRUSH_23,,Minicity,sc3d/bgr_minicity_ground.scw,,sc3d/bgr_minicity.scw,sc/events.sc,event_scity,CoinRush,Gemgrab_10,Monsterbrawl_ingame_muzak,Lewinham,
Gemgrab15,,TID_GOLDRUSH_17,,Minicity,sc3d/bgr_minicity_ground.scw,,sc3d/bgr_minicity.scw,sc/events.sc,event_scity,CoinRush,Gemgrab_15,Monsterbrawl_ingame_muzak,Mordeus,
Gemgrab16,,TID_GOLDRUSH_25,,Mortuary,sc3d/bgr_mortuary_ground.scw,,sc3d/bgr_mortuary.scw,sc/events.sc,event_mortuary,CoinRush,Gemgrab_16,Halloween_ingame,benci,
Gemgrab17,,TID_GOLDRUSH_24,,Mortuary,sc3d/bgr_mortuary_ground.scw,,sc3d/bgr_mortuary.scw,sc/events.sc,event_mortuary,CoinRush,Gemgrab_17,Halloween_ingame,Lab2point0,
Gemgrab18,,TID_GOLDRUSH_19,,Mine,sc3d/bgr_mine_ground.scw,,sc3d/bgr_mine.scw,sc/events.sc,event_gemmine,CoinRush,Gemgrab_18,BattleMusic,freezeemilk,
Ball9,,TID_BALL_15,,Grassfield,sc3d/bgr_grassfield_ground.scw,sc3d/bgr_grassfield_ground_wf19.scw,sc3d/bgr_grassfield.scw,sc/events.sc,event_brawlball,LaserBall,Laserball_9,BattleMusic,Mordeus,
Biggame1,,TID_BOSS_4,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_boss,BossFight,Biggame_1,BattleMusic,OwenReds,
Biggame2,,TID_BOSS_3,survival_,Default,sc3d/bgr_canyon_showdown_ground.scw,,sc3d/bgr_canyon_showdown.scw,sc/events.sc,event_boss,BossFight,Biggame_2,BattleMusic,OwenReds,
